Low,Median,High,Province,Occupation,NOC,Occupation_Code,Occupation_Code_2,OccupationDescription,OccupationDescription_2,Position_Code,Position
18.97,42.97,99.91,ON,Legislators ,00010,0,00,Legislative and senior management occupations,Legislative and senior managers,0,Managers
20.0,65.76,96.63,ON,Senior government managers and officials ,00011,0,00,Legislative and senior management occupations,Legislative and senior managers,0,Managers
44.0,84.13,137.36,ON,"Senior managers - financial, communications and other business services ",00012,0,00,Legislative and senior management occupations,Legislative and senior managers,0,Managers
23.0,46.16,105.64,ON,"Senior managers - trade, broadcasting and other services ",00014,0,00,Legislative and senior management occupations,Legislative and senior managers,0,Managers
21.54,45.7,102.56,ON,"Senior managers - construction, transportation, production and utilities ",00015,0,00,Legislative and senior management occupations,Legislative and senior managers,0,Managers
34.13,56.41,96.15,ON,Financial managers ,10010,1,10,"Business, finance and administration occupations","Specialized middle management occupations in administrative services, financial and business services and communication (except broadcasting)",0,Managers
37.5,55.29,80.51,ON,Human resources managers ,10011,1,10,"Business, finance and administration occupations","Specialized middle management occupations in administrative services, financial and business services and communication (except broadcasting)",0,Managers
35.0,55.9,76.92,ON,Purchasing managers ,10012,1,10,"Business, finance and administration occupations","Specialized middle management occupations in administrative services, financial and business services and communication (except broadcasting)",0,Managers
28.5,47.12,83.07,ON,Other administrative services managers ,10019,1,10,"Business, finance and administration occupations","Specialized middle management occupations in administrative services, financial and business services and communication (except broadcasting)",0,Managers
33.65,56.25,96.15,ON,"Insurance, real estate and financial brokerage managers ",10020,1,10,"Business, finance and administration occupations","Specialized middle management occupations in administrative services, financial and business services and communication (except broadcasting)",0,Managers
34.62,52.35,84.62,ON,"Banking, credit and other investment managers ",10021,1,10,"Business, finance and administration occupations","Specialized middle management occupations in administrative services, financial and business services and communication (except broadcasting)",0,Managers
31.0,53.85,91.35,ON,"Advertising, marketing and public relations managers ",10022,1,10,"Business, finance and administration occupations","Specialized middle management occupations in administrative services, financial and business services and communication (except broadcasting)",0,Managers
30.43,53.3,84.62,ON,Other business services managers ,10029,1,10,"Business, finance and administration occupations","Specialized middle management occupations in administrative services, financial and business services and communication (except broadcasting)",0,Managers
31.0,45.0,72.12,ON,Telecommunication carriers managers ,10030,1,10,"Business, finance and administration occupations","Specialized middle management occupations in administrative services, financial and business services and communication (except broadcasting)",0,Managers
23.08,39.0,66.67,ON,Financial auditors and accountants ,11100,1,11,"Business, finance and administration occupations",Professional occupations in finance and business,1,Professionals
24.73,38.46,53.85,ON,Financial and investment analysts ,11101,1,11,"Business, finance and administration occupations",Professional occupations in finance and business,1,Professionals
22.56,34.79,71.43,ON,Financial advisors ,11102,1,11,"Business, finance and administration occupations",Professional occupations in finance and business,1,Professionals
23.83,51.28,90.66,ON,"Securities agents, investment dealers and brokers ",11103,1,11,"Business, finance and administration occupations",Professional occupations in finance and business,1,Professionals
22.0,36.92,76.41,ON,Other financial officers ,11109,1,11,"Business, finance and administration occupations",Professional occupations in finance and business,1,Professionals
23.08,36.92,57.44,ON,Human resources professionals ,11200,1,11,"Business, finance and administration occupations",Professional occupations in finance and business,1,Professionals
24.04,41.35,71.28,ON,Professional occupations in business management consulting ,11201,1,11,"Business, finance and administration occupations",Professional occupations in finance and business,1,Professionals
18.0,32.69,55.29,ON,"Professional occupations in advertising, marketing and public relations ",11202,1,11,"Business, finance and administration occupations",Professional occupations in finance and business,1,Professionals
20.33,30.29,48.72,ON,"Supervisors, general office and administrative support workers ",12010,1,12,"Business, finance and administration occupations",Administrative and financial supervisors and specialized administrative occupations,2,Technical Occupations and/or Supervisors
21.0,34.16,58.97,ON,"Supervisors, finance and insurance office workers ",12011,1,12,"Business, finance and administration occupations",Administrative and financial supervisors and specialized administrative occupations,2,Technical Occupations and/or Supervisors
23.0,42.56,55.66,ON,"Supervisors, library, correspondence and related information workers ",12012,1,12,"Business, finance and administration occupations",Administrative and financial supervisors and specialized administrative occupations,2,Technical Occupations and/or Supervisors
19.55,25.23,39.0,ON,"Supervisors, supply chain, tracking and scheduling coordination occupations ",12013,1,12,"Business, finance and administration occupations",Administrative and financial supervisors and specialized administrative occupations,2,Technical Occupations and/or Supervisors
22.18,33.65,49.45,ON,Executive assistants ,12100,1,12,"Business, finance and administration occupations",Administrative and financial supervisors and specialized administrative occupations,2,Technical Occupations and/or Supervisors
20.0,33.65,50.0,ON,Human resources and recruitment officers ,12101,1,12,"Business, finance and administration occupations",Administrative and financial supervisors and specialized administrative occupations,2,Technical Occupations and/or Supervisors
21.63,33.65,57.69,ON,Procurement and purchasing agents and officers ,12102,1,12,"Business, finance and administration occupations",Administrative and financial supervisors and specialized administrative occupations,2,Technical Occupations and/or Supervisors
16.55,25.5,44.1,ON,Conference and event planners ,12103,1,12,"Business, finance and administration occupations",Administrative and financial supervisors and specialized administrative occupations,2,Technical Occupations and/or Supervisors
26.67,35.38,53.85,ON,Employment insurance and revenue officers ,12104,1,12,"Business, finance and administration occupations",Administrative and financial supervisors and specialized administrative occupations,2,Technical Occupations and/or Supervisors
16.55,25.0,34.87,ON,"Court reporters, medical transcriptionists and related occupations ",12110,1,12,"Business, finance and administration occupations",Administrative and financial supervisors and specialized administrative occupations,2,Technical Occupations and/or Supervisors
16.55,29.55,34.74,ON,Health information management occupations ,12111,1,12,"Business, finance and administration occupations",Administrative and financial supervisors and specialized administrative occupations,2,Technical Occupations and/or Supervisors
20.51,28.21,56.41,ON,Records management technicians ,12112,1,12,"Business, finance and administration occupations",Administrative and financial supervisors and specialized administrative occupations,2,Technical Occupations and/or Supervisors
22.0,32.54,45.13,ON,Statistical officers and related research support occupations ,12113,1,12,"Business, finance and administration occupations",Administrative and financial supervisors and specialized administrative occupations,2,Technical Occupations and/or Supervisors
17.31,25.0,41.03,ON,Accounting technicians and bookkeepers ,12200,1,12,"Business, finance and administration occupations",Administrative and financial supervisors and specialized administrative occupations,2,Technical Occupations and/or Supervisors
20.0,35.1,55.43,ON,Insurance adjusters and claims examiners ,12201,1,12,"Business, finance and administration occupations",Administrative and financial supervisors and specialized administrative occupations,2,Technical Occupations and/or Supervisors
23.59,34.07,54.87,ON,Insurance underwriters ,12202,1,12,"Business, finance and administration occupations",Administrative and financial supervisors and specialized administrative occupations,2,Technical Occupations and/or Supervisors
21.37,32.0,52.88,ON,"Assessors, business valuators and appraisers ",12203,1,12,"Business, finance and administration occupations",Administrative and financial supervisors and specialized administrative occupations,2,Technical Occupations and/or Supervisors
18.75,27.0,46.3,ON,Administrative officers ,13100,1,13,"Business, finance and administration occupations",Administrative occupations and transportation logistics occupations,3,General Occupations/Trades
16.55,28.85,52.31,ON,Property administrators ,13101,1,13,"Business, finance and administration occupations",Administrative occupations and transportation logistics occupations,3,General Occupations/Trades
19.04,29.0,39.9,ON,Payroll administrators ,13102,1,13,"Business, finance and administration occupations",Administrative occupations and transportation logistics occupations,3,General Occupations/Trades
17.0,25.0,36.0,ON,Administrative assistants ,13110,1,13,"Business, finance and administration occupations",Administrative occupations and transportation logistics occupations,3,General Occupations/Trades
16.55,24.52,42.86,ON,Legal administrative assistants ,13111,1,13,"Business, finance and administration occupations",Administrative occupations and transportation logistics occupations,3,General Occupations/Trades
16.55,22.44,32.05,ON,Medical administrative assistants ,13112,1,13,"Business, finance and administration occupations",Administrative occupations and transportation logistics occupations,3,General Occupations/Trades
18.0,24.0,35.77,ON,"Customs, ship and other brokers ",13200,1,13,"Business, finance and administration occupations",Administrative occupations and transportation logistics occupations,3,General Occupations/Trades
17.0,25.96,38.9,ON,Production and transportation logistics coordinators ,13201,1,13,"Business, finance and administration occupations",Administrative occupations and transportation logistics occupations,3,General Occupations/Trades
16.55,21.66,32.69,ON,General office support workers ,14100,1,14,"Business, finance and administration occupations",Administrative and financial support and supply chain logistics occupations,4,Workers/Machine Operators/Support
16.55,19.0,26.0,ON,Receptionists ,14101,1,14,"Business, finance and administration occupations",Administrative and financial support and supply chain logistics occupations,4,Workers/Machine Operators/Support
19.23,24.04,32.21,ON,Personnel clerks ,14102,1,14,"Business, finance and administration occupations",Administrative and financial support and supply chain logistics occupations,4,Workers/Machine Operators/Support
25.5,28.59,53.85,ON,Court clerks and related court services occupations ,14103,1,14,"Business, finance and administration occupations",Administrative and financial support and supply chain logistics occupations,4,Workers/Machine Operators/Support
17.0,18.83,44.53,ON,Survey interviewers and statistical clerks ,14110,1,14,"Business, finance and administration occupations",Administrative and financial support and supply chain logistics occupations,4,Workers/Machine Operators/Support
16.55,20.0,30.77,ON,Data entry clerks ,14111,1,14,"Business, finance and administration occupations",Administrative and financial support and supply chain logistics occupations,4,Workers/Machine Operators/Support
16.55,19.66,25.5,ON,Desktop publishing operators and related occupations ,14112,1,14,"Business, finance and administration occupations",Administrative and financial support and supply chain logistics occupations,4,Workers/Machine Operators/Support
17.0,23.78,35.0,ON,Accounting and related clerks ,14200,1,14,"Business, finance and administration occupations",Administrative and financial support and supply chain logistics occupations,4,Workers/Machine Operators/Support
18.0,23.59,35.9,ON,"Banking, insurance and other financial clerks ",14201,1,14,"Business, finance and administration occupations",Administrative and financial support and supply chain logistics occupations,4,Workers/Machine Operators/Support
16.55,23.01,34.5,ON,Collection clerks ,14202,1,14,"Business, finance and administration occupations",Administrative and financial support and supply chain logistics occupations,4,Workers/Machine Operators/Support
16.55,19.0,29.64,ON,Library assistants and clerks ,14300,1,14,"Business, finance and administration occupations",Administrative and financial support and supply chain logistics occupations,4,Workers/Machine Operators/Support
18.75,26.0,43.66,ON,"Correspondence, publication and regulatory clerks ",14301,1,14,"Business, finance and administration occupations",Administrative and financial support and supply chain logistics occupations,4,Workers/Machine Operators/Support
16.55,20.67,28.85,ON,Shippers and receivers ,14400,1,14,"Business, finance and administration occupations",Administrative and financial support and supply chain logistics occupations,4,Workers/Machine Operators/Support
18.0,23.85,34.99,ON,Storekeepers and partspersons ,14401,1,14,"Business, finance and administration occupations",Administrative and financial support and supply chain logistics occupations,4,Workers/Machine Operators/Support
21.07,32.0,43.27,ON,Production logistics workers ,14402,1,14,"Business, finance and administration occupations",Administrative and financial support and supply chain logistics occupations,4,Workers/Machine Operators/Support
16.55,21.63,30.77,ON,Purchasing and inventory control workers ,14403,1,14,"Business, finance and administration occupations",Administrative and financial support and supply chain logistics occupations,4,Workers/Machine Operators/Support
17.0,27.5,44.0,ON,Dispatchers ,14404,1,14,"Business, finance and administration occupations",Administrative and financial support and supply chain logistics occupations,4,Workers/Machine Operators/Support
17.19,26.14,38.35,ON,Transportation route and crew schedulers ,14405,1,14,"Business, finance and administration occupations",Administrative and financial support and supply chain logistics occupations,4,Workers/Machine Operators/Support
39.34,61.54,87.18,ON,Engineering managers ,20010,2,20,Natural and applied sciences and related occupations,"Specialized middle management occupations in engineering, architecture, science and information systems",0,Managers
40.0,60.0,92.86,ON,Architecture and science managers ,20011,2,20,Natural and applied sciences and related occupations,"Specialized middle management occupations in engineering, architecture, science and information systems",0,Managers
41.83,61.54,96.15,ON,Computer and information systems managers ,20012,2,20,Natural and applied sciences and related occupations,"Specialized middle management occupations in engineering, architecture, science and information systems",0,Managers
35.9,50.0,87.0,ON,Physicists and astronomers ,21100,2,21,Natural and applied sciences and related occupations,Professional occupations in natural and applied sciences,1,Professionals
24.04,35.9,58.79,ON,Chemists ,21101,2,21,Natural and applied sciences and related occupations,Professional occupations in natural and applied sciences,1,Professionals
28.33,46.15,61.54,ON,Geoscientists and oceanographers ,21102,2,21,Natural and applied sciences and related occupations,Professional occupations in natural and applied sciences,1,Professionals
34.56,51.08,66.11,ON,Meteorologists and climatologists ,21103,2,21,Natural and applied sciences and related occupations,Professional occupations in natural and applied sciences,1,Professionals
32.56,61.06,72.12,ON,Other professional occupations in physical sciences ,21109,2,21,Natural and applied sciences and related occupations,Professional occupations in natural and applied sciences,1,Professionals
25.64,41.0,67.11,ON,Biologists and related scientists ,21110,2,21,Natural and applied sciences and related occupations,Professional occupations in natural and applied sciences,1,Professionals
25.3,37.52,59.0,ON,Forestry professionals ,21111,2,21,Natural and applied sciences and related occupations,Professional occupations in natural and applied sciences,1,Professionals
33.65,35.58,57.69,ON,"Agricultural representatives, consultants and specialists ",21112,2,21,Natural and applied sciences and related occupations,Professional occupations in natural and applied sciences,1,Professionals
21.0,34.7,64.0,ON,Public and environmental health and safety professionals ,21120,2,21,Natural and applied sciences and related occupations,Professional occupations in natural and applied sciences,1,Professionals
24.0,40.63,59.34,ON,Architects ,21200,2,21,Natural and applied sciences and related occupations,Professional occupations in natural and applied sciences,1,Professionals
21.08,38.12,62.59,ON,Landscape architects ,21201,2,21,Natural and applied sciences and related occupations,Professional occupations in natural and applied sciences,1,Professionals
24.18,43.0,57.99,ON,Urban and land use planners ,21202,2,21,Natural and applied sciences and related occupations,Professional occupations in natural and applied sciences,1,Professionals
24.81,31.71,45.0,ON,Land surveyors ,21203,2,21,Natural and applied sciences and related occupations,Professional occupations in natural and applied sciences,1,Professionals
33.0,47.1,88.21,ON,"Mathematicians, statisticians and actuaries ",21210,2,21,Natural and applied sciences and related occupations,Professional occupations in natural and applied sciences,1,Professionals
26.64,47.3,79.15,ON,Data scientists ,21211,2,21,Natural and applied sciences and related occupations,Professional occupations in natural and applied sciences,1,Professionals
26.44,43.59,76.92,ON,Cybersecurity specialists ,21220,2,21,Natural and applied sciences and related occupations,Professional occupations in natural and applied sciences,1,Professionals
24.04,43.0,70.0,ON,Business systems specialists ,21221,2,21,Natural and applied sciences and related occupations,Professional occupations in natural and applied sciences,1,Professionals
25.0,42.05,64.9,ON,Information systems specialists ,21222,2,21,Natural and applied sciences and related occupations,Professional occupations in natural and applied sciences,1,Professionals
24.3,41.35,61.54,ON,Database analysts and data administrators ,21223,2,21,Natural and applied sciences and related occupations,Professional occupations in natural and applied sciences,1,Professionals
25.0,46.15,67.31,ON,Computer systems developers and programmers ,21230,2,21,Natural and applied sciences and related occupations,Professional occupations in natural and applied sciences,1,Professionals
32.05,51.44,81.73,ON,Software engineers and designers ,21231,2,21,Natural and applied sciences and related occupations,Professional occupations in natural and applied sciences,1,Professionals
25.64,45.19,62.5,ON,Software developers and programmers ,21232,2,21,Natural and applied sciences and related occupations,Professional occupations in natural and applied sciences,1,Professionals
20.0,35.69,54.81,ON,Web designers ,21233,2,21,Natural and applied sciences and related occupations,Professional occupations in natural and applied sciences,1,Professionals
20.19,36.06,57.69,ON,Web developers and programmers ,21234,2,21,Natural and applied sciences and related occupations,Professional occupations in natural and applied sciences,1,Professionals
27.0,43.96,68.29,ON,Civil engineers ,21300,2,21,Natural and applied sciences and related occupations,Professional occupations in natural and applied sciences,1,Professionals
25.0,43.27,64.28,ON,Mechanical engineers ,21301,2,21,Natural and applied sciences and related occupations,Professional occupations in natural and applied sciences,1,Professionals
