Province,Occupation,NOC,Occupation_Code,Occupation_Code_2,OccupationDescription,OccupationDescription_2,Position_Code,Position,ID,Wave_Level,Value
ON,Legislators ,00010,0,00,Legislative and senior management occupations,Legislative and senior managers,0,Managers,1,Low,18.97
ON,Legislators ,00010,0,00,Legislative and senior management occupations,Legislative and senior managers,0,Managers,1,Median,42.97
ON,Legislators ,00010,0,00,Legislative and senior management occupations,Legislative and senior managers,0,Managers,1,High,99.91
ON,Senior government managers and officials ,00011,0,00,Legislative and senior management occupations,Legislative and senior managers,0,Managers,2,Low,20.0
ON,Senior government managers and officials ,00011,0,00,Legislative and senior management occupations,Legislative and senior managers,0,Managers,2,Median,65.76
ON,Senior government managers and officials ,00011,0,00,Legislative and senior management occupations,Legislative and senior managers,0,Managers,2,High,96.63
ON,"Senior managers - financial, communications and other business services ",00012,0,00,Legislative and senior management occupations,Legislative and senior managers,0,Managers,3,Low,44.0
ON,"Senior managers - financial, communications and other business services ",00012,0,00,Legislative and senior management occupations,Legislative and senior managers,0,Managers,3,Median,84.13
ON,"Senior managers - financial, communications and other business services ",00012,0,00,Legislative and senior management occupations,Legislative and senior managers,0,Managers,3,High,137.36
ON,"Senior managers - trade, broadcasting and other services ",00014,0,00,Legislative and senior management occupations,Legislative and senior managers,0,Managers,4,Low,23.0
ON,"Senior managers - trade, broadcasting and other services ",00014,0,00,Legislative and senior management occupations,Legislative and senior managers,0,Managers,4,Median,46.16
ON,"Senior managers - trade, broadcasting and other services ",00014,0,00,Legislative and senior management occupations,Legislative and senior managers,0,Managers,4,High,105.64
ON,"Senior managers - construction, transportation, production and utilities ",00015,0,00,Legislative and senior management occupations,Legislative and senior managers,0,Managers,5,Low,21.54
ON,"Senior managers - construction, transportation, production and utilities ",00015,0,00,Legislative and senior management occupations,Legislative and senior managers,0,Managers,5,Median,45.7
ON,"Senior managers - construction, transportation, production and utilities ",00015,0,00,Legislative and senior management occupations,Legislative and senior managers,0,Managers,5,High,102.56
ON,Financial managers ,10010,1,10,"Business, finance and administration occupations","Specialized middle management occupations in administrative services, financial and business services and communication (except broadcasting)",0,Managers,6,Low,34.13
ON,Financial managers ,10010,1,10,"Business, finance and administration occupations","Specialized middle management occupations in administrative services, financial and business services and communication (except broadcasting)",0,Managers,6,Median,56.41
ON,Financial managers ,10010,1,10,"Business, finance and administration occupations","Specialized middle management occupations in administrative services, financial and business services and communication (except broadcasting)",0,Managers,6,High,96.15
ON,Human resources managers ,10011,1,10,"Business, finance and administration occupations","Specialized middle management occupations in administrative services, financial and business services and communication (except broadcasting)",0,Managers,7,Low,37.5
ON,Human resources managers ,10011,1,10,"Business, finance and administration occupations","Specialized middle management occupations in administrative services, financial and business services and communication (except broadcasting)",0,Managers,7,Median,55.29
ON,Human resources managers ,10011,1,10,"Business, finance and administration occupations","Specialized middle management occupations in administrative services, financial and business services and communication (except broadcasting)",0,Managers,7,High,80.51
ON,Purchasing managers ,10012,1,10,"Business, finance and administration occupations","Specialized middle management occupations in administrative services, financial and business services and communication (except broadcasting)",0,Managers,8,Low,35.0
ON,Purchasing managers ,10012,1,10,"Business, finance and administration occupations","Specialized middle management occupations in administrative services, financial and business services and communication (except broadcasting)",0,Managers,8,Median,55.9
ON,Purchasing managers ,10012,1,10,"Business, finance and administration occupations","Specialized middle management occupations in administrative services, financial and business services and communication (except broadcasting)",0,Managers,8,High,76.92
ON,Other administrative services managers ,10019,1,10,"Business, finance and administration occupations","Specialized middle management occupations in administrative services, financial and business services and communication (except broadcasting)",0,Managers,9,Low,28.5
ON,Other administrative services managers ,10019,1,10,"Business, finance and administration occupations","Specialized middle management occupations in administrative services, financial and business services and communication (except broadcasting)",0,Managers,9,Median,47.12
ON,Other administrative services managers ,10019,1,10,"Business, finance and administration occupations","Specialized middle management occupations in administrative services, financial and business services and communication (except broadcasting)",0,Managers,9,High,83.07
ON,"Insurance, real estate and financial brokerage managers ",10020,1,10,"Business, finance and administration occupations","Specialized middle management occupations in administrative services, financial and business services and communication (except broadcasting)",0,Managers,10,Low,33.65
ON,"Insurance, real estate and financial brokerage managers ",10020,1,10,"Business, finance and administration occupations","Specialized middle management occupations in administrative services, financial and business services and communication (except broadcasting)",0,Managers,10,Median,56.25
ON,"Insurance, real estate and financial brokerage managers ",10020,1,10,"Business, finance and administration occupations","Specialized middle management occupations in administrative services, financial and business services and communication (except broadcasting)",0,Managers,10,High,96.15
ON,"Banking, credit and other investment managers ",10021,1,10,"Business, finance and administration occupations","Specialized middle management occupations in administrative services, financial and business services and communication (except broadcasting)",0,Managers,11,Low,34.62
ON,"Banking, credit and other investment managers ",10021,1,10,"Business, finance and administration occupations","Specialized middle management occupations in administrative services, financial and business services and communication (except broadcasting)",0,Managers,11,Median,52.35
ON,"Banking, credit and other investment managers ",10021,1,10,"Business, finance and administration occupations","Specialized middle management occupations in administrative services, financial and business services and communication (except broadcasting)",0,Managers,11,High,84.62
ON,"Advertising, marketing and public relations managers ",10022,1,10,"Business, finance and administration occupations","Specialized middle management occupations in administrative services, financial and business services and communication (except broadcasting)",0,Managers,12,Low,31.0
ON,"Advertising, marketing and public relations managers ",10022,1,10,"Business, finance and administration occupations","Specialized middle management occupations in administrative services, financial and business services and communication (except broadcasting)",0,Managers,12,Median,53.85
ON,"Advertising, marketing and public relations managers ",10022,1,10,"Business, finance and administration occupations","Specialized middle management occupations in administrative services, financial and business services and communication (except broadcasting)",0,Managers,12,High,91.35
ON,Other business services managers ,10029,1,10,"Business, finance and administration occupations","Specialized middle management occupations in administrative services, financial and business services and communication (except broadcasting)",0,Managers,13,Low,30.43
ON,Other business services managers ,10029,1,10,"Business, finance and administration occupations","Specialized middle management occupations in administrative services, financial and business services and communication (except broadcasting)",0,Managers,13,Median,53.3
ON,Other business services managers ,10029,1,10,"Business, finance and administration occupations","Specialized middle management occupations in administrative services, financial and business services and communication (except broadcasting)",0,Managers,13,High,84.62
ON,Telecommunication carriers managers ,10030,1,10,"Business, finance and administration occupations","Specialized middle management occupations in administrative services, financial and business services and communication (except broadcasting)",0,Managers,14,Low,31.0
ON,Telecommunication carriers managers ,10030,1,10,"Business, finance and administration occupations","Specialized middle management occupations in administrative services, financial and business services and communication (except broadcasting)",0,Managers,14,Median,45.0
ON,Telecommunication carriers managers ,10030,1,10,"Business, finance and administration occupations","Specialized middle management occupations in administrative services, financial and business services and communication (except broadcasting)",0,Managers,14,High,72.12
ON,Financial auditors and accountants ,11100,1,11,"Business, finance and administration occupations",Professional occupations in finance and business,1,Professionals,15,Low,23.08
ON,Financial auditors and accountants ,11100,1,11,"Business, finance and administration occupations",Professional occupations in finance and business,1,Professionals,15,Median,39.0
ON,Financial auditors and accountants ,11100,1,11,"Business, finance and administration occupations",Professional occupations in finance and business,1,Professionals,15,High,66.67
ON,Financial and investment analysts ,11101,1,11,"Business, finance and administration occupations",Professional occupations in finance and business,1,Professionals,16,Low,24.73
ON,Financial and investment analysts ,11101,1,11,"Business, finance and administration occupations",Professional occupations in finance and business,1,Professionals,16,Median,38.46
ON,Financial and investment analysts ,11101,1,11,"Business, finance and administration occupations",Professional occupations in finance and business,1,Professionals,16,High,53.85
ON,Financial advisors ,11102,1,11,"Business, finance and administration occupations",Professional occupations in finance and business,1,Professionals,17,Low,22.56
ON,Financial advisors ,11102,1,11,"Business, finance and administration occupations",Professional occupations in finance and business,1,Professionals,17,Median,34.79
ON,Financial advisors ,11102,1,11,"Business, finance and administration occupations",Professional occupations in finance and business,1,Professionals,17,High,71.43
ON,"Securities agents, investment dealers and brokers ",11103,1,11,"Business, finance and administration occupations",Professional occupations in finance and business,1,Professionals,18,Low,23.83
ON,"Securities agents, investment dealers and brokers ",11103,1,11,"Business, finance and administration occupations",Professional occupations in finance and business,1,Professionals,18,Median,51.28
ON,"Securities agents, investment dealers and brokers ",11103,1,11,"Business, finance and administration occupations",Professional occupations in finance and business,1,Professionals,18,High,90.66
ON,Other financial officers ,11109,1,11,"Business, finance and administration occupations",Professional occupations in finance and business,1,Professionals,19,Low,22.0
ON,Other financial officers ,11109,1,11,"Business, finance and administration occupations",Professional occupations in finance and business,1,Professionals,19,Median,36.92
ON,Other financial officers ,11109,1,11,"Business, finance and administration occupations",Professional occupations in finance and business,1,Professionals,19,High,76.41
ON,Human resources professionals ,11200,1,11,"Business, finance and administration occupations",Professional occupations in finance and business,1,Professionals,20,Low,23.08
ON,Human resources professionals ,11200,1,11,"Business, finance and administration occupations",Professional occupations in finance and business,1,Professionals,20,Median,36.92
ON,Human resources professionals ,11200,1,11,"Business, finance and administration occupations",Professional occupations in finance and business,1,Professionals,20,High,57.44
ON,Professional occupations in business management consulting ,11201,1,11,"Business, finance and administration occupations",Professional occupations in finance and business,1,Professionals,21,Low,24.04
ON,Professional occupations in business management consulting ,11201,1,11,"Business, finance and administration occupations",Professional occupations in finance and business,1,Professionals,21,Median,41.35
ON,Professional occupations in business management consulting ,11201,1,11,"Business, finance and administration occupations",Professional occupations in finance and business,1,Professionals,21,High,71.28
ON,"Professional occupations in advertising, marketing and public relations ",11202,1,11,"Business, finance and administration occupations",Professional occupations in finance and business,1,Professionals,22,Low,18.0
ON,"Professional occupations in advertising, marketing and public relations ",11202,1,11,"Business, finance and administration occupations",Professional occupations in finance and business,1,Professionals,22,Median,32.69
ON,"Professional occupations in advertising, marketing and public relations ",11202,1,11,"Business, finance and administration occupations",Professional occupations in finance and business,1,Professionals,22,High,55.29
ON,"Supervisors, general office and administrative support workers ",12010,1,12,"Business, finance and administration occupations",Administrative and financial supervisors and specialized administrative occupations,2,Technical Occupations and/or Supervisors,23,Low,20.33
ON,"Supervisors, general office and administrative support workers ",12010,1,12,"Business, finance and administration occupations",Administrative and financial supervisors and specialized administrative occupations,2,Technical Occupations and/or Supervisors,23,Median,30.29
ON,"Supervisors, general office and administrative support workers ",12010,1,12,"Business, finance and administration occupations",Administrative and financial supervisors and specialized administrative occupations,2,Technical Occupations and/or Supervisors,23,High,48.72
ON,"Supervisors, finance and insurance office workers ",12011,1,12,"Business, finance and administration occupations",Administrative and financial supervisors and specialized administrative occupations,2,Technical Occupations and/or Supervisors,24,Low,21.0
ON,"Supervisors, finance and insurance office workers ",12011,1,12,"Business, finance and administration occupations",Administrative and financial supervisors and specialized administrative occupations,2,Technical Occupations and/or Supervisors,24,Median,34.16
ON,"Supervisors, finance and insurance office workers ",12011,1,12,"Business, finance and administration occupations",Administrative and financial supervisors and specialized administrative occupations,2,Technical Occupations and/or Supervisors,24,High,58.97
ON,"Supervisors, library, correspondence and related information workers ",12012,1,12,"Business, finance and administration occupations",Administrative and financial supervisors and specialized administrative occupations,2,Technical Occupations and/or Supervisors,25,Low,23.0
ON,"Supervisors, library, correspondence and related information workers ",12012,1,12,"Business, finance and administration occupations",Administrative and financial supervisors and specialized administrative occupations,2,Technical Occupations and/or Supervisors,25,Median,42.56
ON,"Supervisors, library, correspondence and related information workers ",12012,1,12,"Business, finance and administration occupations",Administrative and financial supervisors and specialized administrative occupations,2,Technical Occupations and/or Supervisors,25,High,55.66
ON,"Supervisors, supply chain, tracking and scheduling coordination occupations ",12013,1,12,"Business, finance and administration occupations",Administrative and financial supervisors and specialized administrative occupations,2,Technical Occupations and/or Supervisors,26,Low,19.55
ON,"Supervisors, supply chain, tracking and scheduling coordination occupations ",12013,1,12,"Business, finance and administration occupations",Administrative and financial supervisors and specialized administrative occupations,2,Technical Occupations and/or Supervisors,26,Median,25.23
ON,"Supervisors, supply chain, tracking and scheduling coordination occupations ",12013,1,12,"Business, finance and administration occupations",Administrative and financial supervisors and specialized administrative occupations,2,Technical Occupations and/or Supervisors,26,High,39.0
ON,Executive assistants ,12100,1,12,"Business, finance and administration occupations",Administrative and financial supervisors and specialized administrative occupations,2,Technical Occupations and/or Supervisors,27,Low,22.18
ON,Executive assistants ,12100,1,12,"Business, finance and administration occupations",Administrative and financial supervisors and specialized administrative occupations,2,Technical Occupations and/or Supervisors,27,Median,33.65
ON,Executive assistants ,12100,1,12,"Business, finance and administration occupations",Administrative and financial supervisors and specialized administrative occupations,2,Technical Occupations and/or Supervisors,27,High,49.45
ON,Human resources and recruitment officers ,12101,1,12,"Business, finance and administration occupations",Administrative and financial supervisors and specialized administrative occupations,2,Technical Occupations and/or Supervisors,28,Low,20.0
ON,Human resources and recruitment officers ,12101,1,12,"Business, finance and administration occupations",Administrative and financial supervisors and specialized administrative occupations,2,Technical Occupations and/or Supervisors,28,Median,33.65
ON,Human resources and recruitment officers ,12101,1,12,"Business, finance and administration occupations",Administrative and financial supervisors and specialized administrative occupations,2,Technical Occupations and/or Supervisors,28,High,50.0
ON,Procurement and purchasing agents and officers ,12102,1,12,"Business, finance and administration occupations",Administrative and financial supervisors and specialized administrative occupations,2,Technical Occupations and/or Supervisors,29,Low,21.63
ON,Procurement and purchasing agents and officers ,12102,1,12,"Business, finance and administration occupations",Administrative and financial supervisors and specialized administrative occupations,2,Technical Occupations and/or Supervisors,29,Median,33.65
ON,Procurement and purchasing agents and officers ,12102,1,12,"Business, finance and administration occupations",Administrative and financial supervisors and specialized administrative occupations,2,Technical Occupations and/or Supervisors,29,High,57.69
ON,Conference and event planners ,12103,1,12,"Business, finance and administration occupations",Administrative and financial supervisors and specialized administrative occupations,2,Technical Occupations and/or Supervisors,30,Low,16.55
ON,Conference and event planners ,12103,1,12,"Business, finance and administration occupations",Administrative and financial supervisors and specialized administrative occupations,2,Technical Occupations and/or Supervisors,30,Median,25.5
ON,Conference and event planners ,12103,1,12,"Business, finance and administration occupations",Administrative and financial supervisors and specialized administrative occupations,2,Technical Occupations and/or Supervisors,30,High,44.1
ON,Employment insurance and revenue officers ,12104,1,12,"Business, finance and administration occupations",Administrative and financial supervisors and specialized administrative occupations,2,Technical Occupations and/or Supervisors,31,Low,26.67
ON,Employment insurance and revenue officers ,12104,1,12,"Business, finance and administration occupations",Administrative and financial supervisors and specialized administrative occupations,2,Technical Occupations and/or Supervisors,31,Median,35.38
