Occupation (NOC),Low,Median,High,Province
Legislators (00010),"35,320","80,000","186,000",ON
Senior government managers and officials (00011),20,65.76,96.63,ON
"Senior managers - financial, communications and other business services (00012)",44,84.13,137.36,ON
"Senior managers - trade, broadcasting and other services (00014)",23,46.16,105.64,ON
"Senior managers - construction, transportation, production and utilities (00015)",21.54,45.7,102.56,ON
Financial managers (10010),34.13,56.41,96.15,ON
Human resources managers (10011),37.5,55.29,80.51,ON
Purchasing managers (10012),35,55.9,76.92,ON
Other administrative services managers (10019),28.5,47.12,83.07,ON
"Insurance, real estate and financial brokerage managers (10020)",33.65,56.25,96.15,ON
"Banking, credit and other investment managers (10021)",34.62,52.35,84.62,ON
"Advertising, marketing and public relations managers (10022)",31,53.85,91.35,ON
Other business services managers (10029),30.43,53.3,84.62,ON
Telecommunication carriers managers (10030),31,45,72.12,ON
Financial auditors and accountants (11100),23.08,39,66.67,ON
Financial and investment analysts (11101),24.73,38.46,53.85,ON
Financial advisors (11102),22.56,34.79,71.43,ON
"Securities agents, investment dealers and brokers (11103)",23.83,51.28,90.66,ON
Other financial officers (11109),22,36.92,76.41,ON
Human resources professionals (11200),23.08,36.92,57.44,ON
Professional occupations in business management consulting (11201),24.04,41.35,71.28,ON
"Professional occupations in advertising, marketing and public relations (11202)",18,32.69,55.29,ON
"Supervisors, general office and administrative support workers (12010)",20.33,30.29,48.72,ON
"Supervisors, finance and insurance office workers (12011)",21,34.16,58.97,ON
"Supervisors, library, correspondence and related information workers (12012)",23,42.56,55.66,ON
"Supervisors, supply chain, tracking and scheduling coordination occupations (12013)",19.55,25.23,39,ON
Executive assistants (12100),22.18,33.65,49.45,ON
Human resources and recruitment officers (12101),20,33.65,50,ON
Procurement and purchasing agents and officers (12102),21.63,33.65,57.69,ON
Conference and event planners (12103),16.55,25.5,44.1,ON
Employment insurance and revenue officers (12104),26.67,35.38,53.85,ON
"Court reporters, medical transcriptionists and related occupations (12110)",16.55,25,34.87,ON
Health information management occupations (12111),16.55,29.55,34.74,ON
Records management technicians (12112),20.51,28.21,56.41,ON
Statistical officers and related research support occupations (12113),22,32.54,45.13,ON
Accounting technicians and bookkeepers (12200),17.31,25,41.03,ON
Insurance adjusters and claims examiners (12201),20,35.1,55.43,ON
Insurance underwriters (12202),23.59,34.07,54.87,ON
"Assessors, business valuators and appraisers (12203)",21.37,32,52.88,ON
Administrative officers (13100),18.75,27,46.3,ON
Property administrators (13101),16.55,28.85,52.31,ON
Payroll administrators (13102),19.04,29,39.9,ON
Administrative assistants (13110),17,25,36,ON
Legal administrative assistants (13111),16.55,24.52,42.86,ON
Medical administrative assistants (13112),16.55,22.44,32.05,ON
"Customs, ship and other brokers (13200)",18,24,35.77,ON
Production and transportation logistics coordinators (13201),17,25.96,38.9,ON
General office support workers (14100),16.55,21.66,32.69,ON
Receptionists (14101),16.55,19,26,ON
Personnel clerks (14102),19.23,24.04,32.21,ON
Court clerks and related court services occupations (14103),25.5,28.59,53.85,ON
Survey interviewers and statistical clerks (14110),17,18.83,44.53,ON
Data entry clerks (14111),16.55,20,30.77,ON
Desktop publishing operators and related occupations (14112),16.55,19.66,25.5,ON
Accounting and related clerks (14200),17,23.78,35,ON
"Banking, insurance and other financial clerks (14201)",18,23.59,35.9,ON
Collection clerks (14202),16.55,23.01,34.5,ON
Library assistants and clerks (14300),16.55,19,29.64,ON
"Correspondence, publication and regulatory clerks (14301)",18.75,26,43.66,ON
Shippers and receivers (14400),16.55,20.67,28.85,ON
Storekeepers and partspersons (14401),18,23.85,34.99,ON
Production logistics workers (14402),21.07,32,43.27,ON
Purchasing and inventory control workers (14403),16.55,21.63,30.77,ON
Dispatchers (14404),17,27.5,44,ON
Transportation route and crew schedulers (14405),17.19,26.14,38.35,ON
Engineering managers (20010),39.34,61.54,87.18,ON
Architecture and science managers (20011),40,60,92.86,ON
Computer and information systems managers (20012),41.83,61.54,96.15,ON
Physicists and astronomers (21100),35.9,50,87,ON
Chemists (21101),24.04,35.9,58.79,ON
Geoscientists and oceanographers (21102),28.33,46.15,61.54,ON
Meteorologists and climatologists (21103),34.56,51.08,66.11,ON
Other professional occupations in physical sciences (21109),32.56,61.06,72.12,ON
