Province,Occupation,NOC,Occupation_Code,Occupation_Code_2,OccupationDescription,OccupationDescription_2,Position_Code,Position,ID,Wave_Level,Value,mean_temperature,Average_house_price,bachelors_higher,Minimum_wage,CPI
ON,Legislators ,00010,0,00,Legislative and senior management occupations,Legislative and senior managers,0,Managers,1,Low,18.97,-4.1,0.881946,29.9,16.55,3.4
ON,Legislators ,00010,0,00,Legislative and senior management occupations,Legislative and senior managers,0,Managers,1,Median,42.97,-4.1,0.881946,29.9,16.55,3.4
ON,Legislators ,00010,0,00,Legislative and senior management occupations,Legislative and senior managers,0,Managers,1,High,99.91,-4.1,0.881946,29.9,16.55,3.4
ON,Senior government managers and officials ,00011,0,00,Legislative and senior management occupations,Legislative and senior managers,0,Managers,2,Low,20.0,-4.1,0.881946,29.9,16.55,3.4
ON,Senior government managers and officials ,00011,0,00,Legislative and senior management occupations,Legislative and senior managers,0,Managers,2,Median,65.76,-4.1,0.881946,29.9,16.55,3.4
ON,Senior government managers and officials ,00011,0,00,Legislative and senior management occupations,Legislative and senior managers,0,Managers,2,High,96.63,-4.1,0.881946,29.9,16.55,3.4
ON,"Senior managers - financial, communications and other business services ",00012,0,00,Legislative and senior management occupations,Legislative and senior managers,0,Managers,3,Low,44.0,-4.1,0.881946,29.9,16.55,3.4
ON,"Senior managers - financial, communications and other business services ",00012,0,00,Legislative and senior management occupations,Legislative and senior managers,0,Managers,3,Median,84.13,-4.1,0.881946,29.9,16.55,3.4
ON,"Senior managers - financial, communications and other business services ",00012,0,00,Legislative and senior management occupations,Legislative and senior managers,0,Managers,3,High,137.36,-4.1,0.881946,29.9,16.55,3.4
ON,"Senior managers - trade, broadcasting and other services ",00014,0,00,Legislative and senior management occupations,Legislative and senior managers,0,Managers,4,Low,23.0,-4.1,0.881946,29.9,16.55,3.4
ON,"Senior managers - trade, broadcasting and other services ",00014,0,00,Legislative and senior management occupations,Legislative and senior managers,0,Managers,4,Median,46.16,-4.1,0.881946,29.9,16.55,3.4
ON,"Senior managers - trade, broadcasting and other services ",00014,0,00,Legislative and senior management occupations,Legislative and senior managers,0,Managers,4,High,105.64,-4.1,0.881946,29.9,16.55,3.4
ON,"Senior managers - construction, transportation, production and utilities ",00015,0,00,Legislative and senior management occupations,Legislative and senior managers,0,Managers,5,Low,21.54,-4.1,0.881946,29.9,16.55,3.4
ON,"Senior managers - construction, transportation, production and utilities ",00015,0,00,Legislative and senior management occupations,Legislative and senior managers,0,Managers,5,Median,45.7,-4.1,0.881946,29.9,16.55,3.4
ON,"Senior managers - construction, transportation, production and utilities ",00015,0,00,Legislative and senior management occupations,Legislative and senior managers,0,Managers,5,High,102.56,-4.1,0.881946,29.9,16.55,3.4
ON,Financial managers ,10010,1,10,"Business, finance and administration occupations","Specialized middle management occupations in administrative services, financial and business services and communication (except broadcasting)",0,Managers,6,Low,34.13,-4.1,0.881946,29.9,16.55,3.4
ON,Financial managers ,10010,1,10,"Business, finance and administration occupations","Specialized middle management occupations in administrative services, financial and business services and communication (except broadcasting)",0,Managers,6,Median,56.41,-4.1,0.881946,29.9,16.55,3.4
ON,Financial managers ,10010,1,10,"Business, finance and administration occupations","Specialized middle management occupations in administrative services, financial and business services and communication (except broadcasting)",0,Managers,6,High,96.15,-4.1,0.881946,29.9,16.55,3.4
ON,Human resources managers ,10011,1,10,"Business, finance and administration occupations","Specialized middle management occupations in administrative services, financial and business services and communication (except broadcasting)",0,Managers,7,Low,37.5,-4.1,0.881946,29.9,16.55,3.4
ON,Human resources managers ,10011,1,10,"Business, finance and administration occupations","Specialized middle management occupations in administrative services, financial and business services and communication (except broadcasting)",0,Managers,7,Median,55.29,-4.1,0.881946,29.9,16.55,3.4
ON,Human resources managers ,10011,1,10,"Business, finance and administration occupations","Specialized middle management occupations in administrative services, financial and business services and communication (except broadcasting)",0,Managers,7,High,80.51,-4.1,0.881946,29.9,16.55,3.4
ON,Purchasing managers ,10012,1,10,"Business, finance and administration occupations","Specialized middle management occupations in administrative services, financial and business services and communication (except broadcasting)",0,Managers,8,Low,35.0,-4.1,0.881946,29.9,16.55,3.4
ON,Purchasing managers ,10012,1,10,"Business, finance and administration occupations","Specialized middle management occupations in administrative services, financial and business services and communication (except broadcasting)",0,Managers,8,Median,55.9,-4.1,0.881946,29.9,16.55,3.4
ON,Purchasing managers ,10012,1,10,"Business, finance and administration occupations","Specialized middle management occupations in administrative services, financial and business services and communication (except broadcasting)",0,Managers,8,High,76.92,-4.1,0.881946,29.9,16.55,3.4
ON,Other administrative services managers ,10019,1,10,"Business, finance and administration occupations","Specialized middle management occupations in administrative services, financial and business services and communication (except broadcasting)",0,Managers,9,Low,28.5,-4.1,0.881946,29.9,16.55,3.4
ON,Other administrative services managers ,10019,1,10,"Business, finance and administration occupations","Specialized middle management occupations in administrative services, financial and business services and communication (except broadcasting)",0,Managers,9,Median,47.12,-4.1,0.881946,29.9,16.55,3.4
ON,Other administrative services managers ,10019,1,10,"Business, finance and administration occupations","Specialized middle management occupations in administrative services, financial and business services and communication (except broadcasting)",0,Managers,9,High,83.07,-4.1,0.881946,29.9,16.55,3.4
ON,"Insurance, real estate and financial brokerage managers ",10020,1,10,"Business, finance and administration occupations","Specialized middle management occupations in administrative services, financial and business services and communication (except broadcasting)",0,Managers,10,Low,33.65,-4.1,0.881946,29.9,16.55,3.4
ON,"Insurance, real estate and financial brokerage managers ",10020,1,10,"Business, finance and administration occupations","Specialized middle management occupations in administrative services, financial and business services and communication (except broadcasting)",0,Managers,10,Median,56.25,-4.1,0.881946,29.9,16.55,3.4
